investor_id,days_gap,churn_risk_status
INV000093,91.0,At-Risk
INV000094,95.0,At-Risk
INV000095,155.0,At-Risk
INV000096,2.0,Active
INV000097,183.0,At-Risk
INV000098,103.0,At-Risk
INV000099,206.0,At-Risk
INV000100,275.0,At-Risk
INV000101,197.0,At-Risk
INV000102,109.0,At-Risk
INV000103,232.0,At-Risk
INV000104,247.0,At-Risk
INV000105,87.0,At-Risk
INV000106,112.0,At-Risk
INV000107,200.0,At-Risk
INV000108,71.0,At-Risk
INV000109,63.0,At-Risk
INV000110,194.0,At-Risk
INV000111,,Active
INV000112,216.0,At-Risk
INV000113,144.0,At-Risk
INV000114,,Active
INV000115,218.0,At-Risk
INV000116,282.0,At-Risk
INV000117,126.0,At-Risk
INV000118,152.0,At-Risk
INV000119,142.0,At-Risk
INV000120,223.0,At-Risk
INV000121,170.0,At-Risk
INV000122,,Active
INV000123,142.0,At-Risk
INV000124,344.0,At-Risk
INV000125,123.0,At-Risk
INV000126,,Active
INV000127,,Active
INV000128,181.0,At-Risk
INV000129,256.0,At-Risk
INV000130,170.0,At-Risk
INV000131,123.0,At-Risk
INV000132,139.0,At-Risk
INV000133,265.0,At-Risk
INV000134,106.0,At-Risk
INV000135,238.0,At-Risk
INV000136,,Active
INV000137,150.0,At-Risk
INV000138,220.0,At-Risk
INV000139,,Active
INV000140,157.0,At-Risk
INV000141,,Active
INV000143,237.0,At-Risk
INV000144,265.0,At-Risk
INV000145,282.0,At-Risk
INV000146,171.0,At-Risk
INV000147,216.0,At-Risk
INV000148,168.0,At-Risk
INV000150,176.0,At-Risk
INV000151,219.0,At-Risk
INV000152,,Active
INV000153,97.0,At-Risk
INV000154,90.0,At-Risk
INV000155,99.0,At-Risk
INV000156,344.0,At-Risk
INV000158,144.0,At-Risk
INV000159,218.0,At-Risk
INV000160,69.0,At-Risk
INV000161,213.0,At-Risk
INV000162,435.0,At-Risk
INV000163,80.0,At-Risk
INV000164,208.0,At-Risk
INV000165,249.0,At-Risk
INV000166,368.0,At-Risk
INV000167,195.0,At-Risk
INV000168,,Active
INV000169,145.0,At-Risk
INV000170,18.0,Active
INV000171,98.0,At-Risk
INV000172,298.0,At-Risk
INV000173,165.0,At-Risk
INV000174,315.0,At-Risk
INV000175,170.0,At-Risk
INV000176,204.0,At-Risk
INV000177,278.0,At-Risk
INV000178,230.0,At-Risk
INV000179,85.0,At-Risk
INV000180,229.0,At-Risk
INV000181,286.0,At-Risk
INV000182,182.0,At-Risk
INV000183,216.0,At-Risk
INV000184,,Active
INV000185,196.0,At-Risk
INV000189,216.0,At-Risk
INV000190,97.0,At-Risk
INV000191,161.0,At-Risk
INV000192,208.0,At-Risk
INV000193,392.0,At-Risk
INV000194,109.0,At-Risk
INV000195,114.0,At-Risk
INV000196,176.0,At-Risk
INV000197,,Active
INV000198,,Active
INV000199,153.0,At-Risk
INV000200,244.0,At-Risk
INV000201,100.0,At-Risk
INV000202,348.0,At-Risk
INV000203,98.0,At-Risk
INV000204,48.0,At-Risk
INV000205,193.0,At-Risk
INV000206,,Active
INV000207,238.0,At-Risk
INV000208,,Active
INV000209,,Active
INV000210,163.0,At-Risk
INV000211,214.0,At-Risk
INV000212,,Active
INV000213,163.0,At-Risk
INV000214,306.0,At-Risk
INV000215,388.0,At-Risk
INV000216,107.0,At-Risk
INV000217,183.0,At-Risk
INV000218,,Active
INV000219,217.0,At-Risk
INV000220,253.0,At-Risk
INV000221,60.0,At-Risk
INV000222,59.0,At-Risk
INV000223,172.0,At-Risk
INV000224,138.0,At-Risk
INV000225,175.0,At-Risk
INV000226,100.0,At-Risk
INV000227,182.0,At-Risk
INV000228,188.0,At-Risk
INV000229,102.0,At-Risk
INV000230,112.0,At-Risk
INV000231,87.0,At-Risk
INV000232,,Active
INV000233,,Active
INV000234,340.0,At-Risk
INV000235,140.0,At-Risk
INV000236,112.0,At-Risk
INV000237,,Active
INV000238,287.0,At-Risk
INV000239,105.0,At-Risk
INV000240,,Active
INV000241,144.0,At-Risk
INV000242,119.0,At-Risk
INV000243,137.0,At-Risk
INV000244,38.0,At-Risk
INV000245,164.0,At-Risk
INV000246,117.0,At-Risk
INV000248,,Active
INV000249,162.0,At-Risk
INV000251,223.0,At-Risk
INV000252,96.0,At-Risk
INV000253,,Active
INV000254,249.0,At-Risk
INV000255,103.0,At-Risk
INV000256,155.0,At-Risk
INV000257,197.0,At-Risk
INV000258,,Active
INV000259,165.0,At-Risk
INV000260,206.0,At-Risk
INV000261,234.0,At-Risk
INV000262,122.0,At-Risk
INV000263,271.0,At-Risk
INV000264,,Active
INV000265,140.0,At-Risk
INV000266,109.0,At-Risk
INV000267,200.0,At-Risk
INV000268,143.0,At-Risk
INV000269,180.0,At-Risk
INV000270,130.0,At-Risk
INV000271,342.0,At-Risk
INV000272,228.0,At-Risk
INV000273,,Active
INV000274,175.0,At-Risk
INV000275,17.0,Active
INV000276,187.0,At-Risk
INV000277,,Active
INV000278,354.0,At-Risk
INV000279,133.0,At-Risk
INV000280,191.0,At-Risk
INV000281,,Active
INV000282,53.0,At-Risk
INV000283,195.0,At-Risk
INV000284,162.0,At-Risk
INV000285,140.0,At-Risk
INV000286,215.0,At-Risk
INV000287,301.0,At-Risk
INV000288,218.0,At-Risk
INV000289,142.0,At-Risk
INV000290,,Active
INV000291,196.0,At-Risk
INV000292,95.0,At-Risk
INV000293,91.0,At-Risk
INV000294,164.0,At-Risk
INV000295,8.0,Active
INV000296,158.0,At-Risk
INV000297,163.0,At-Risk
INV000298,122.0,At-Risk
INV000299,240.0,At-Risk
INV000300,131.0,At-Risk
INV000301,111.0,At-Risk
INV000302,,Active
INV000303,280.0,At-Risk
INV000304,204.0,At-Risk
INV000305,110.0,At-Risk
INV000306,115.0,At-Risk
INV000307,162.0,At-Risk
INV000308,212.0,At-Risk
INV000309,157.0,At-Risk
INV000310,164.0,At-Risk
INV000311,287.0,At-Risk
INV000312,203.0,At-Risk
INV000313,310.0,At-Risk
INV000314,171.0,At-Risk
INV000315,183.0,At-Risk
INV000316,184.0,At-Risk
INV000317,250.0,At-Risk
INV000318,175.0,At-Risk
INV000319,201.0,At-Risk
INV000320,119.0,At-Risk
INV000321,204.0,At-Risk
INV000322,206.0,At-Risk
INV000323,111.0,At-Risk
INV000325,227.0,At-Risk
INV000326,220.0,At-Risk
INV000327,50.0,At-Risk
INV000328,73.0,At-Risk
INV000329,163.0,At-Risk
INV000330,196.0,At-Risk
INV000331,163.0,At-Risk
INV000332,64.0,At-Risk
INV000333,379.0,At-Risk
INV000334,60.0,At-Risk
INV000335,279.0,At-Risk
INV000336,150.0,At-Risk
INV000337,297.0,At-Risk
INV000338,,Active
INV000339,195.0,At-Risk
INV000340,60.0,At-Risk
INV000341,191.0,At-Risk
INV000342,,Active
INV000343,248.0,At-Risk
INV000344,55.0,At-Risk
INV000345,,Active
INV000346,,Active
INV000347,,Active
INV000348,284.0,At-Risk
INV000349,156.0,At-Risk
INV000350,85.0,At-Risk
INV000351,158.0,At-Risk
INV000352,225.0,At-Risk
INV000353,,Active
INV000354,262.0,At-Risk
INV000355,,Active
INV000356,157.0,At-Risk
INV000357,88.0,At-Risk
INV000358,,Active
INV000359,197.0,At-Risk
INV000360,184.0,At-Risk
INV000361,108.0,At-Risk
INV000363,153.0,At-Risk
INV000364,142.0,At-Risk
INV000366,234.0,At-Risk
INV000367,116.0,At-Risk
INV000368,,Active
INV000369,112.0,At-Risk
INV000370,257.0,At-Risk
INV000371,147.0,At-Risk
INV000372,121.0,At-Risk
INV000373,48.0,At-Risk
INV000374,246.0,At-Risk
INV000376,,Active
INV000377,202.0,At-Risk
INV000378,196.0,At-Risk
INV000379,74.0,At-Risk
INV000380,272.0,At-Risk
INV000381,,Active
INV000382,,Active
INV000383,203.0,At-Risk
INV000384,133.0,At-Risk
INV000385,147.0,At-Risk
INV000386,,Active
INV000387,161.0,At-Risk
INV000388,119.0,At-Risk
INV000389,209.0,At-Risk
INV000390,211.0,At-Risk
INV000391,,Active
INV000392,205.0,At-Risk
INV000393,43.0,At-Risk
INV000394,242.0,At-Risk
INV000395,119.0,At-Risk
INV000396,153.0,At-Risk
INV000397,205.0,At-Risk
INV000399,68.0,At-Risk
INV000400,101.0,At-Risk
INV000401,32.0,Active
INV000402,172.0,At-Risk
INV000403,90.0,At-Risk
INV000404,,Active
INV000405,65.0,At-Risk
INV000406,,Active
INV000407,157.0,At-Risk
INV000408,125.0,At-Risk
INV000409,375.0,At-Risk
INV000410,198.0,At-Risk
INV000411,101.0,At-Risk
INV000412,70.0,At-Risk
INV000413,317.0,At-Risk
INV000414,233.0,At-Risk
INV000415,128.0,At-Risk
INV000416,119.0,At-Risk
INV000417,268.0,At-Risk
INV000418,238.0,At-Risk
INV000419,201.0,At-Risk
INV000420,,Active
INV000421,202.0,At-Risk
INV000422,,Active
INV000423,265.0,At-Risk
INV000424,,Active
INV000425,70.0,At-Risk
INV000426,39.0,At-Risk
INV000427,116.0,At-Risk
INV000428,164.0,At-Risk
INV000429,187.0,At-Risk
INV000430,264.0,At-Risk
INV000431,168.0,At-Risk
INV000432,306.0,At-Risk
INV000433,166.0,At-Risk
INV000434,,Active
INV000435,,Active
INV000436,170.0,At-Risk
INV000437,295.0,At-Risk
INV000438,184.0,At-Risk
INV000439,59.0,At-Risk
INV000440,162.0,At-Risk
INV000441,151.0,At-Risk
INV000442,375.0,At-Risk
INV000443,373.0,At-Risk
INV000444,129.0,At-Risk
INV000445,129.0,At-Risk
INV000446,101.0,At-Risk
INV000449,70.0,At-Risk
INV000450,,Active
INV000452,123.0,At-Risk
INV000453,243.0,At-Risk
INV000454,420.0,At-Risk
INV000455,75.0,At-Risk
INV000456,75.0,At-Risk
INV000457,256.0,At-Risk
INV000458,187.0,At-Risk
INV000459,195.0,At-Risk
INV000460,107.0,At-Risk
INV000461,90.0,At-Risk
INV000462,79.0,At-Risk
INV000463,181.0,At-Risk
INV000465,236.0,At-Risk
INV000466,135.0,At-Risk
INV000467,272.0,At-Risk
INV000468,,Active
INV000469,183.0,At-Risk
INV000470,401.0,At-Risk
INV000471,185.0,At-Risk
INV000472,,Active
INV000473,245.0,At-Risk
INV000474,203.0,At-Risk
INV000475,90.0,At-Risk
INV000476,18.0,Active
INV000477,,Active
INV000478,61.0,At-Risk
INV000479,99.0,At-Risk
INV000480,189.0,At-Risk
INV000481,286.0,At-Risk
INV000482,202.0,At-Risk
INV000483,252.0,At-Risk
INV000484,,Active
INV000485,270.0,At-Risk
INV000487,215.0,At-Risk
INV000488,222.0,At-Risk
INV000489,76.0,At-Risk
INV000490,231.0,At-Risk
INV000491,202.0,At-Risk
INV000492,286.0,At-Risk
INV000493,201.0,At-Risk
INV000494,162.0,At-Risk
INV000495,64.0,At-Risk
INV000496,175.0,At-Risk
INV000497,191.0,At-Risk
INV000498,,Active
INV000499,157.0,At-Risk
INV000500,193.0,At-Risk
INV000501,129.0,At-Risk
INV000502,,Active
INV000503,,Active
INV000504,,Active
INV000505,120.0,At-Risk
INV000506,80.0,At-Risk
INV000507,249.0,At-Risk
INV000509,107.0,At-Risk
INV000510,190.0,At-Risk
INV000511,206.0,At-Risk
INV000512,112.0,At-Risk
INV000513,103.0,At-Risk
INV000514,158.0,At-Risk
INV000516,,Active
INV000517,39.0,At-Risk
INV000518,,Active
INV000519,208.0,At-Risk
INV000520,89.0,At-Risk
INV000521,73.0,At-Risk
INV000522,309.0,At-Risk
INV000523,206.0,At-Risk
INV000524,91.0,At-Risk
INV000525,126.0,At-Risk
INV000526,58.0,At-Risk
INV000527,116.0,At-Risk
INV000528,,Active
INV000529,110.0,At-Risk
INV000530,142.0,At-Risk
INV000531,82.0,At-Risk
INV000532,102.0,At-Risk
INV000533,225.0,At-Risk
INV000534,,Active
INV000535,349.0,At-Risk
INV000536,25.0,Active
INV000537,200.0,At-Risk
INV000538,60.0,At-Risk
INV000539,153.0,At-Risk
INV000540,123.0,At-Risk
INV000541,56.0,At-Risk
INV000542,336.0,At-Risk
INV000543,218.0,At-Risk
INV000544,159.0,At-Risk
INV000545,181.0,At-Risk
INV000546,154.0,At-Risk
INV000547,140.0,At-Risk
INV000548,245.0,At-Risk
INV000549,146.0,At-Risk
INV000550,410.0,At-Risk
INV000551,192.0,At-Risk
INV000552,191.0,At-Risk
INV000553,172.0,At-Risk
INV000554,171.0,At-Risk
INV000555,58.0,At-Risk
INV000556,156.0,At-Risk
INV000557,294.0,At-Risk
INV000558,113.0,At-Risk
INV000559,72.0,At-Risk
INV000560,70.0,At-Risk
INV000561,,Active
INV000562,197.0,At-Risk
INV000563,198.0,At-Risk
INV000564,162.0,At-Risk
INV000565,181.0,At-Risk
INV000566,119.0,At-Risk
INV000567,166.0,At-Risk
INV000568,180.0,At-Risk
INV000569,285.0,At-Risk
INV000570,186.0,At-Risk
INV000571,,Active
INV000572,261.0,At-Risk
INV000573,154.0,At-Risk
INV000574,6.0,Active
INV000575,155.0,At-Risk
INV000576,190.0,At-Risk
INV000577,81.0,At-Risk
INV000578,164.0,At-Risk
INV000579,,Active
INV000580,158.0,At-Risk
INV000581,160.0,At-Risk
INV000583,55.0,At-Risk
INV000584,191.0,At-Risk
INV000585,121.0,At-Risk
INV000586,111.0,At-Risk
INV000587,112.0,At-Risk
INV000588,,Active
INV000589,90.0,At-Risk
INV000590,182.0,At-Risk
INV000591,112.0,At-Risk
INV000592,268.0,At-Risk
INV000593,179.0,At-Risk
INV000594,,Active
INV000595,174.0,At-Risk
INV000596,140.0,At-Risk
INV000597,198.0,At-Risk
INV000598,188.0,At-Risk
INV000599,171.0,At-Risk
INV000600,156.0,At-Risk
INV000601,119.0,At-Risk
INV000602,229.0,At-Risk
INV000603,236.0,At-Risk
INV000604,194.0,At-Risk
INV000605,,Active
INV000606,215.0,At-Risk
INV000607,209.0,At-Risk
INV000608,324.0,At-Risk
INV000609,87.0,At-Risk
INV000611,121.0,At-Risk
INV000612,169.0,At-Risk
INV000613,236.0,At-Risk
INV000614,3.0,Active
INV000615,139.0,At-Risk
INV000616,230.0,At-Risk
INV000617,,Active
INV000618,7.0,Active
INV000619,73.0,At-Risk
INV000620,,Active
INV000621,350.0,At-Risk
INV000622,293.0,At-Risk
INV000623,238.0,At-Risk
INV000624,53.0,At-Risk
INV000625,134.0,At-Risk
INV000626,187.0,At-Risk
INV000627,,Active
INV000628,304.0,At-Risk
INV000629,276.0,At-Risk
INV000630,161.0,At-Risk
INV000631,145.0,At-Risk
INV000632,,Active
INV000633,183.0,At-Risk
INV000634,147.0,At-Risk
INV000635,240.0,At-Risk
INV000636,77.0,At-Risk
INV000637,48.0,At-Risk
INV000638,246.0,At-Risk
INV000639,129.0,At-Risk
INV000640,,Active
INV000641,126.0,At-Risk
INV000642,139.0,At-Risk
INV000643,299.0,At-Risk
INV000644,13.0,Active
INV000645,127.0,At-Risk
INV000646,138.0,At-Risk
INV000647,,Active
INV000648,88.0,At-Risk
INV000649,294.0,At-Risk
INV000650,260.0,At-Risk
INV000651,304.0,At-Risk
INV000652,262.0,At-Risk
INV000653,164.0,At-Risk
INV000654,,Active
INV000656,197.0,At-Risk
INV000657,106.0,At-Risk
INV000658,191.0,At-Risk
INV000659,228.0,At-Risk
INV000660,102.0,At-Risk
INV000661,227.0,At-Risk
INV000662,185.0,At-Risk
INV000663,247.0,At-Risk
INV000664,149.0,At-Risk
INV000665,148.0,At-Risk
INV000666,170.0,At-Risk
INV000667,134.0,At-Risk
INV000668,339.0,At-Risk
INV000669,,Active
INV000670,143.0,At-Risk
INV000671,218.0,At-Risk
INV000672,33.0,Active
INV000673,235.0,At-Risk
INV000674,,Active
INV000675,155.0,At-Risk
INV000676,106.0,At-Risk
INV000677,,Active
INV000678,140.0,At-Risk
INV000679,123.0,At-Risk
INV000680,158.0,At-Risk
INV000681,246.0,At-Risk
INV000682,374.0,At-Risk
INV000683,137.0,At-Risk
INV000684,212.0,At-Risk
INV000685,,Active
INV000686,,Active
INV000687,223.0,At-Risk
INV000688,81.0,At-Risk
INV000689,110.0,At-Risk
INV000690,134.0,At-Risk
INV000691,163.0,At-Risk
INV000692,,Active
INV000693,378.0,At-Risk
INV000695,229.0,At-Risk
INV000696,193.0,At-Risk
INV000698,219.0,At-Risk
INV000699,147.0,At-Risk
INV000700,93.0,At-Risk
INV000701,298.0,At-Risk
INV000702,287.0,At-Risk
INV000703,286.0,At-Risk
INV000704,246.0,At-Risk
INV000705,247.0,At-Risk
INV000706,221.0,At-Risk
INV000707,106.0,At-Risk
INV000708,222.0,At-Risk
INV000709,128.0,At-Risk
INV000710,264.0,At-Risk
INV000711,247.0,At-Risk
INV000713,177.0,At-Risk
INV000714,95.0,At-Risk
INV000715,154.0,At-Risk
INV000716,,Active
INV000717,282.0,At-Risk
INV000718,118.0,At-Risk
INV000719,185.0,At-Risk
INV000720,217.0,At-Risk
INV000721,67.0,At-Risk
INV000722,179.0,At-Risk
INV000723,398.0,At-Risk
INV000724,227.0,At-Risk
INV000725,92.0,At-Risk
INV000726,151.0,At-Risk
INV000727,25.0,Active
INV000728,85.0,At-Risk
INV000729,196.0,At-Risk
INV000730,,Active
INV000731,19.0,Active
INV000732,130.0,At-Risk
INV000733,355.0,At-Risk
INV000734,180.0,At-Risk
INV000735,306.0,At-Risk
INV000736,181.0,At-Risk
INV000737,168.0,At-Risk
INV000738,63.0,At-Risk
INV000739,82.0,At-Risk
INV000740,,Active
INV000741,151.0,At-Risk
INV000742,213.0,At-Risk
INV000743,243.0,At-Risk
INV000744,135.0,At-Risk
INV000745,309.0,At-Risk
INV000746,209.0,At-Risk
INV000747,205.0,At-Risk
INV000748,175.0,At-Risk
INV000749,190.0,At-Risk
INV000750,84.0,At-Risk
INV000751,193.0,At-Risk
INV000752,269.0,At-Risk
INV000753,186.0,At-Risk
INV000754,103.0,At-Risk
INV000755,229.0,At-Risk
INV000756,157.0,At-Risk
INV000757,226.0,At-Risk
INV000758,223.0,At-Risk
INV000759,156.0,At-Risk
INV000760,148.0,At-Risk
INV000761,173.0,At-Risk
INV000762,118.0,At-Risk
INV000763,,Active
INV000764,299.0,At-Risk
INV000765,142.0,At-Risk
INV000766,247.0,At-Risk
INV000767,227.0,At-Risk
INV000768,124.0,At-Risk
INV000769,206.0,At-Risk
INV000770,,Active
INV000771,176.0,At-Risk
INV000772,81.0,At-Risk
INV000774,169.0,At-Risk
INV000775,151.0,At-Risk
INV000776,116.0,At-Risk
INV000777,121.0,At-Risk
INV000778,182.0,At-Risk
INV000779,153.0,At-Risk
INV000780,,Active
INV000781,191.0,At-Risk
INV000782,105.0,At-Risk
INV000783,187.0,At-Risk
INV000784,435.0,At-Risk
INV000785,66.0,At-Risk
INV000786,199.0,At-Risk
INV000787,,Active
INV000788,159.0,At-Risk
INV000789,225.0,At-Risk
INV000790,,Active
INV000791,188.0,At-Risk
INV000792,271.0,At-Risk
INV000793,149.0,At-Risk
INV000794,,Active
INV000795,,Active
INV000796,255.0,At-Risk
INV000797,382.0,At-Risk
INV000798,,Active
INV000799,249.0,At-Risk
INV000800,333.0,At-Risk
INV000801,131.0,At-Risk
INV000802,,Active
INV000803,147.0,At-Risk
INV000804,261.0,At-Risk
INV000806,113.0,At-Risk
INV000808,292.0,At-Risk
INV000809,262.0,At-Risk
INV000810,133.0,At-Risk
INV000811,291.0,At-Risk
INV000813,319.0,At-Risk
INV000814,195.0,At-Risk
INV000815,266.0,At-Risk
INV000816,216.0,At-Risk
INV000818,422.0,At-Risk
INV000819,116.0,At-Risk
INV000820,207.0,At-Risk
INV000821,53.0,At-Risk
INV000822,141.0,At-Risk
INV000823,69.0,At-Risk
INV000824,383.0,At-Risk
INV000825,190.0,At-Risk
INV000826,398.0,At-Risk
INV000827,122.0,At-Risk
INV000828,,Active
INV000829,194.0,At-Risk
INV000830,165.0,At-Risk
INV000831,134.0,At-Risk
INV000832,251.0,At-Risk
INV000833,182.0,At-Risk
INV000834,241.0,At-Risk
INV000835,,Active
INV000836,123.0,At-Risk
INV000837,,Active
INV000838,176.0,At-Risk
INV000839,,Active
INV000840,280.0,At-Risk
INV000841,277.0,At-Risk
INV000842,,Active
INV000843,102.0,At-Risk
INV000844,151.0,At-Risk
INV000845,201.0,At-Risk
INV000846,272.0,At-Risk
INV000847,75.0,At-Risk
INV000848,,Active
INV000849,97.0,At-Risk
INV000850,60.0,At-Risk
INV000851,217.0,At-Risk
INV000852,363.0,At-Risk
INV000853,193.0,At-Risk
INV000854,170.0,At-Risk
INV000855,355.0,At-Risk
INV000856,128.0,At-Risk
INV000857,34.0,Active
INV000858,157.0,At-Risk
INV000859,264.0,At-Risk
INV000860,231.0,At-Risk
INV000861,325.0,At-Risk
INV000862,372.0,At-Risk
INV000863,,Active
INV000864,106.0,At-Risk
INV000865,99.0,At-Risk
INV000866,,Active
INV000867,234.0,At-Risk
INV000868,,Active
INV000869,100.0,At-Risk
INV000870,94.0,At-Risk
INV000871,,Active
INV000872,,Active
INV000873,299.0,At-Risk
INV000874,149.0,At-Risk
INV000875,,Active
INV000876,66.0,At-Risk
INV000877,159.0,At-Risk
INV000878,66.0,At-Risk
INV000879,108.0,At-Risk
INV000880,274.0,At-Risk
INV000881,155.0,At-Risk
INV000882,,Active
INV000883,257.0,At-Risk
INV000884,38.0,At-Risk
INV000885,261.0,At-Risk
INV000886,,Active
INV000887,268.0,At-Risk
INV000888,166.0,At-Risk
INV000889,263.0,At-Risk
INV000890,34.0,Active
INV000891,279.0,At-Risk
INV000892,302.0,At-Risk
INV000893,147.0,At-Risk
INV000894,105.0,At-Risk
INV000895,306.0,At-Risk
INV000896,173.0,At-Risk
INV000897,159.0,At-Risk
INV000898,5.0,Active
INV000899,,Active
INV000900,131.0,At-Risk
INV000901,95.0,At-Risk
INV000902,83.0,At-Risk
INV000904,208.0,At-Risk
INV000905,,Active
INV000906,282.0,At-Risk
INV000907,139.0,At-Risk
INV000908,57.0,At-Risk
INV000909,151.0,At-Risk
INV000910,151.0,At-Risk
INV000911,,Active
INV000912,175.0,At-Risk
INV000913,242.0,At-Risk
INV000914,170.0,At-Risk
INV000915,178.0,At-Risk
INV000916,,Active
INV000918,56.0,At-Risk
INV000919,204.0,At-Risk
INV000920,220.0,At-Risk
INV000921,290.0,At-Risk
INV000922,126.0,At-Risk
INV000923,,Active
INV000924,,Active
INV000925,135.0,At-Risk
INV000926,111.0,At-Risk
INV000927,74.0,At-Risk
INV000928,,Active
INV000929,116.0,At-Risk
INV000930,118.0,At-Risk
INV000931,124.0,At-Risk
INV000933,326.0,At-Risk
INV000934,59.0,At-Risk
INV000935,73.0,At-Risk
INV000936,,Active
INV000937,,Active
INV000938,153.0,At-Risk
INV000939,154.0,At-Risk
INV000940,,Active
INV000941,455.0,At-Risk
INV000942,92.0,At-Risk
INV000943,,Active
INV000944,282.0,At-Risk
INV000945,,Active
INV000946,234.0,At-Risk
INV000947,221.0,At-Risk
INV000948,17.0,Active
INV000949,135.0,At-Risk
INV000950,215.0,At-Risk
INV000951,,Active
INV000953,185.0,At-Risk
INV000954,244.0,At-Risk
INV000955,267.0,At-Risk
INV000956,,Active
INV000957,237.0,At-Risk
INV000958,315.0,At-Risk
INV000959,84.0,At-Risk
INV000960,218.0,At-Risk
INV000961,240.0,At-Risk
INV000962,166.0,At-Risk
INV000963,231.0,At-Risk
INV000964,59.0,At-Risk
INV000965,,Active
INV000966,119.0,At-Risk
INV000967,47.0,At-Risk
INV000968,302.0,At-Risk
INV000969,201.0,At-Risk
INV000970,60.0,At-Risk
INV000971,139.0,At-Risk
INV000972,77.0,At-Risk
INV000974,143.0,At-Risk
INV000975,,Active
INV000977,147.0,At-Risk
INV000978,177.0,At-Risk
INV000979,115.0,At-Risk
INV000980,121.0,At-Risk
INV000981,104.0,At-Risk
INV000982,70.0,At-Risk
INV000983,198.0,At-Risk
INV000984,150.0,At-Risk
INV000985,223.0,At-Risk
INV000986,182.0,At-Risk
INV000987,132.0,At-Risk
INV000988,,Active
INV000989,426.0,At-Risk
INV000990,263.0,At-Risk
INV000991,,Active
INV000992,240.0,At-Risk
INV000993,,Active
INV000994,167.0,At-Risk
INV000995,24.0,Active
INV000997,156.0,At-Risk
INV000998,113.0,At-Risk
INV000999,145.0,At-Risk
INV001001,137.0,At-Risk
INV001002,85.0,At-Risk
INV001003,138.0,At-Risk
INV001004,147.0,At-Risk
INV001005,206.0,At-Risk
INV001006,142.0,At-Risk
INV001007,,Active
INV001008,191.0,At-Risk
INV001009,176.0,At-Risk
INV001010,,Active
INV001011,418.0,At-Risk
INV001012,102.0,At-Risk
INV001013,164.0,At-Risk
INV001014,357.0,At-Risk
INV001015,85.0,At-Risk
INV001016,199.0,At-Risk
INV001017,142.0,At-Risk
INV001019,180.0,At-Risk
INV001020,54.0,At-Risk
INV001021,186.0,At-Risk
INV001023,202.0,At-Risk
INV001024,306.0,At-Risk
INV001025,76.0,At-Risk
INV001026,132.0,At-Risk
INV001027,149.0,At-Risk
INV001028,182.0,At-Risk
INV001029,168.0,At-Risk
INV001030,,Active
INV001031,415.0,At-Risk
INV001032,,Active
INV001033,,Active
INV001034,182.0,At-Risk
INV001035,,Active
INV001036,296.0,At-Risk
INV001037,86.0,At-Risk
INV001038,113.0,At-Risk
